Date,Open,High,Low,Close,Adj Close,Volume
2001-08-28,48.568535,49.156494,48.305504,48.406075,38.538815,6669680
2001-08-29,48.274555,49.551048,48.259083,49.264805,39.222492,22413393
2001-08-30,49.086868,49.728985,48.738735,49.373112,39.308727,12796311
2001-08-31,49.264805,49.357639,47.895477,48.143040,38.329395,18181038
2001-09-03,48.119831,48.738735,48.119831,48.382866,38.520332,7463231
2001-09-04,48.413811,48.955353,47.756226,48.638165,38.723591,10321946
2001-09-05,48.429283,48.893459,47.934158,48.143040,38.329395,5447715
2001-09-06,49.202915,49.202915,47.887741,48.212666,38.384834,7830473
2001-09-07,48.537590,48.537590,47.353935,47.609234,37.904408,9445746
2001-09-10,47.500927,47.872269,46.920704,47.059956,37.467094,5836680
2001-09-11,47.268837,47.500927,46.882023,47.199211,37.577961,6771854
2001-09-12,45.644211,46.649933,42.712151,46.092918,36.697186,16053647
2001-09-13,46.417843,46.882023,44.568867,44.917000,35.760975,9322994
2001-09-14,45.133617,45.133617,40.429939,40.429939,32.188564,14578479
2001-09-17,39.029671,41.079792,37.289001,40.638821,32.354858,46177509
2001-09-18,40.228798,43.091232,38.681538,39.168922,31.184595,40167684
2001-09-19,40.228798,40.460884,37.621662,38.201885,30.414679,24923357
2001-09-20,37.428253,37.985268,35.865520,37.118801,29.552378,28219232
2001-09-21,36.151764,36.205917,33.413113,33.521420,26.688301,33913027
2001-09-24,33.652935,35.099625,33.204231,34.217686,27.242634,47028593
2001-09-25,34.828854,35.432285,31.502243,31.966421,25.450275,46020354
2001-09-26,32.477016,35.169250,32.477016,35.146042,27.981754,42362969
2001-09-27,33.258385,37.876961,33.258385,37.397308,29.774115,62021450
2001-09-28,37.753178,41.141682,36.902184,40.940536,32.595081,67280464
2001-10-01,40.847702,42.008148,39.192131,40.159172,31.972996,94266304
2001-10-02,40.159172,40.159172,40.159172,40.159172,31.972996,0
2001-10-03,40.383522,40.522778,37.459198,38.155468,30.377724,46124938
2001-10-04,38.534546,39.578945,37.683552,38.596436,30.728802,68805688
2001-10-05,38.526810,39.764618,37.691288,38.782108,30.876627,32968733
2001-10-08,37.443726,39.602158,37.211636,39.045143,31.086056,47960355
2001-10-09,39.455166,39.888401,38.557755,39.161186,31.178434,47804280
2001-10-10,38.990990,40.816757,38.990990,39.942554,31.800529,41785368
2001-10-11,40.228798,41.574917,40.228798,41.064320,32.693634,36688233
2001-10-12,41.335091,42.209293,41.017902,41.319618,32.896889,40533718
2001-10-15,41.095264,42.812725,40.692978,42.333073,33.703754,30617100
2001-10-16,42.534218,42.843670,42.031357,42.333073,33.703754,20941379
